hash,time,result,size
7891c4f7ec5b2fa4c59229a527f4ac1d0e8a4194fdca23515144a83eff972463,2020-12-13 23:21:33,-0.004182,191
0d07ea7ec5fb0cfcfc49572d6b432a9c41d0b2fccd58c8c3d13e2310ad4555d4,2020-12-13 23:10:46,0.004182,224
