hash,time,result,size
0d07ea7ec5fb0cfcfc49572d6b432a9c41d0b2fccd58c8c3d13e2310ad4555d4,2020-12-13 23:16:16,0.00017861,224
a8ad4a8becfa892b60be21863628a38460c468c858bcfce222f58e14a15d0116,2020-12-13 23:03:23,-0.0260387,559
c73e646ea612fe172ed182c12c658e127de46ed19b94595ecedb511e92fb06a1,2020-12-13 23:00:34,0.0260387,223
