Date,n_tx
2011-05-25,6258.0
2011-05-28,5013.0
2011-05-31,6063.0
2011-06-03,8441.0
2011-06-06,9703.0
2011-06-09,12176.0
2011-06-12,12440.0
2011-06-15,12605.0
2011-06-18,11563.0
2011-06-21,9704.0
2011-06-24,10922.0
2011-06-27,11751.0
2011-06-30,9636.0
2011-07-03,8364.0
2011-07-06,10519.0
2011-07-09,7851.0
2011-07-12,8147.0
2011-07-15,8148.0
2011-07-18,8976.0
2011-07-21,8163.0
2011-07-24,8219.0
2011-07-27,7995.0
2011-07-30,6209.0
2011-08-02,8817.0
2011-08-05,7360.0
2011-08-08,7267.0
2011-08-11,7596.0
2011-08-14,7471.0
2011-08-17,7722.0
2011-08-20,7191.0
2011-08-23,7277.0
2011-08-26,7421.0
2011-08-29,8094.0
2011-09-01,7203.0
2011-09-04,7258.0
2011-09-07,7090.0
2011-09-10,5993.0
2011-09-13,6519.0
2011-09-16,6209.0
2011-09-19,6653.0
2011-09-22,6139.0
2011-09-25,5722.0
2011-09-28,6017.0
2011-10-01,5374.0
2011-10-04,5809.0
2011-10-07,5674.0
2011-10-10,5882.0
2011-10-13,4984.0
2011-10-16,4981.0
2011-10-19,5130.0
2011-10-22,5114.0
2011-10-25,5226.0
2011-10-28,5118.0
2011-10-31,5182.0
2011-11-03,6253.0
2011-11-06,5034.0
2011-11-09,6448.0
2011-11-12,5487.0
2011-11-15,6106.0
2011-11-18,5169.0
2011-11-21,4770.0
2011-11-24,5018.0
2011-11-27,5061.0
2011-11-30,6840.0
2011-12-03,5631.0
2011-12-06,7978.0
2011-12-09,5588.0
2011-12-12,4862.0
2011-12-15,4850.0
2011-12-18,4632.0
2011-12-21,5577.0
2011-12-24,4658.0
2011-12-27,5211.0
2011-12-30,5051.0
2012-01-02,5410.0
2012-01-05,6994.0
2012-01-08,6404.0
2012-01-11,7139.0
2012-01-14,6807.0
2012-01-17,6761.0
2012-01-20,6780.0
2012-01-23,6100.0
2012-01-26,6598.0
2012-01-29,6426.0
2012-02-01,6502.0
2012-02-04,7237.0
2012-02-07,7012.0
2012-02-10,8456.0
2012-02-13,7992.0
2012-02-16,9537.0
2012-02-19,5958.0
2012-02-22,7194.0
2012-02-25,6306.0
2012-02-28,6725.0
2012-03-02,7645.0
2012-03-05,6979.0
2012-03-08,6637.0
2012-03-11,5223.0
2012-03-14,6895.0
2012-03-17,6876.0
2012-03-20,6834.0
2012-03-23,6156.0
2012-03-26,6619.0
2012-03-29,7518.0
2012-04-01,5563.0
2012-04-04,7143.0
2012-04-07,6080.0
2012-04-10,8468.0
2012-04-13,7223.0
2012-04-16,8577.0
2012-04-19,7900.0
2012-04-22,6354.0
2012-04-25,7557.0
2012-04-28,7427.0
2012-05-01,10208.0
2012-05-04,14098.0
2012-05-07,18247.0
2012-05-10,11782.0
2012-05-13,14737.0
2012-05-16,18078.0
2012-05-19,35404.0
2012-05-22,23480.0
2012-05-25,28999.0
2012-05-28,29888.0
2012-05-31,21013.0
2012-06-03,33601.0
2012-06-06,15937.0
2012-06-09,33050.0
2012-06-12,18243.0
2012-06-15,54986.0
2012-06-18,39071.0
2012-06-21,26782.0
2012-06-24,22392.0
2012-06-27,30875.0
2012-06-30,22618.0
2012-07-03,22667.0
2012-07-06,23916.0
2012-07-09,25129.0
2012-07-12,24303.0
2012-07-15,26345.0
2012-07-18,32588.0
2012-07-21,34593.0
2012-07-24,28369.0
2012-07-27,27155.0
2012-07-30,34395.0
2012-08-02,33211.0
2012-08-05,33283.0
2012-08-08,40168.0
2012-08-11,33139.0
2012-08-14,34506.0
2012-08-17,40554.0
2012-08-20,35837.0
2012-08-23,31818.0
2012-08-26,29520.0
2012-08-29,34209.0
2012-09-01,40774.0
2012-09-04,39946.0
2012-09-07,33483.0
2012-09-10,33632.0
2012-09-13,29025.0
2012-09-16,28415.0
2012-09-19,32231.0
2012-09-22,22014.0
2012-09-25,24177.0
2012-09-28,32768.0
2012-10-01,24727.0
2012-10-04,31955.0
2012-10-07,34726.0
2012-10-10,31226.0
2012-10-13,33090.0
2012-10-16,34533.0
2012-10-19,25096.0
2012-10-22,43154.0
2012-10-25,26998.0
2012-10-28,17965.0
2012-10-31,27444.0
2012-11-03,23899.0
2012-11-06,31986.0
2012-11-09,25157.0
2012-11-12,23903.0
2012-11-15,37604.0
2012-11-18,34136.0
2012-11-21,39066.0
2012-11-24,29718.0
2012-11-27,27632.0
2012-11-30,29758.0
2012-12-03,21659.0
2012-12-06,37163.0
2012-12-09,32059.0
2012-12-12,36736.0
2012-12-15,32365.0
2012-12-18,49812.0
2012-12-21,44580.0
2012-12-24,36111.0
2012-12-27,43787.0
2012-12-30,45447.0
2013-01-02,39433.0
2013-01-05,39596.0
2013-01-08,38624.0
2013-01-11,52749.0
2013-01-14,44560.0
2013-01-17,48100.0
2013-01-20,41371.0
2013-01-23,46678.0
2013-01-26,52366.0
2013-01-29,51703.0
2013-02-01,59382.0
2013-02-04,55005.0
2013-02-07,61237.0
2013-02-10,56443.0
2013-02-13,59090.0
2013-02-16,51433.0
2013-02-19,54519.0
2013-02-22,62171.0
2013-02-25,67144.0
2013-02-28,63021.0
2013-03-03,54459.0
2013-03-06,62760.0
2013-03-09,55546.0
2013-03-12,48484.0
2013-03-15,62776.0
2013-03-18,43485.0
2013-03-21,55564.0
2013-03-24,51335.0
2013-03-27,53207.0
2013-03-30,59196.0
2013-04-02,63276.0
2013-04-05,61373.0
2013-04-08,61680.0
2013-04-11,68407.0
2013-04-14,55471.0
2013-04-17,56706.0
2013-04-20,48302.0
2013-04-23,61668.0
2013-04-26,55264.0
2013-04-29,51776.0
2013-05-02,55429.0
2013-05-05,50332.0
2013-05-08,50439.0
2013-05-11,73402.0
2013-05-14,66470.0
2013-05-17,58731.0
2013-05-20,48821.0
2013-05-23,59789.0
2013-05-26,40722.0
2013-05-29,55060.0
2013-06-01,54311.0
2013-06-04,57622.0
2013-06-07,52188.0
2013-06-10,45000.0
2013-06-13,43193.0
2013-06-16,42966.0
2013-06-19,47031.0
2013-06-22,44594.0
2013-06-25,44629.0
2013-06-28,49552.0
2013-07-01,39128.0
2013-07-04,35292.0
2013-07-07,30356.0
2013-07-10,39238.0
2013-07-13,37970.0
2013-07-16,39392.0
2013-07-19,36759.0
2013-07-22,39979.0
2013-07-25,42530.0
2013-07-28,37302.0
2013-07-31,49524.0
2013-08-03,45746.0
2013-08-06,54369.0
2013-08-09,49658.0
2013-08-12,50228.0
2013-08-15,58129.0
2013-08-18,56397.0
2013-08-21,60531.0
2013-08-24,51817.0
2013-08-27,62187.0
2013-08-30,62603.0
2013-09-02,51266.0
2013-09-05,60730.0
2013-09-08,46452.0
2013-09-11,49210.0
2013-09-14,43560.0
2013-09-17,67931.0
2013-09-20,58994.0
2013-09-23,65328.0
2013-09-26,57545.0
2013-09-29,41181.0
2013-10-02,61964.0
2013-10-05,45479.0
2013-10-08,45461.0
2013-10-11,51922.0
2013-10-14,57452.0
2013-10-17,46870.0
2013-10-20,49418.0
2013-10-23,55314.0
2013-10-26,47747.0
2013-10-29,49930.0
2013-11-01,45371.0
2013-11-04,45523.0
2013-11-07,60535.0
2013-11-10,57538.0
2013-11-13,64870.0
2013-11-16,47175.0
2013-11-19,92907.0
2013-11-22,76947.0
2013-11-25,71793.0
2013-11-28,98921.0
2013-12-01,73442.0
2013-12-04,79624.0
2013-12-07,67712.0
2013-12-10,67623.0
2013-12-13,60059.0
2013-12-16,69382.0
2013-12-19,70278.0
2013-12-22,52897.0
2013-12-25,55428.0
2013-12-28,48009.0
2013-12-31,48847.0
2014-01-03,60980.0
2014-01-06,67358.0
2014-01-09,59031.0
2014-01-12,50537.0
2014-01-15,61612.0
2014-01-18,51573.0
2014-01-21,72577.0
2014-01-24,65600.0
2014-01-27,64374.0
2014-01-30,60799.0
2014-02-02,52483.0
2014-02-05,67529.0
2014-02-08,65009.0
2014-02-11,67229.0
2014-02-14,74889.0
2014-02-17,60853.0
2014-02-20,71144.0
2014-02-23,60198.0
2014-02-26,71897.0
2014-03-01,63402.0
2014-03-04,84600.0
2014-03-07,72345.0
2014-03-10,70884.0
2014-03-13,72805.0
2014-03-16,59332.0
2014-03-19,73804.0
2014-03-22,66673.0
2014-03-25,71883.0
2014-03-28,67079.0
2014-03-31,65448.0
2014-04-03,67075.0
2014-04-06,50010.0
2014-04-09,65153.0
2014-04-12,47740.0
2014-04-15,72809.0
2014-04-18,56996.0
2014-04-21,58110.0
2014-04-24,72694.0
2014-04-27,52629.0
2014-04-30,63657.0
2014-05-03,54157.0
2014-05-06,77228.0
2014-05-09,66293.0
2014-05-12,74418.0
2014-05-15,74893.0
2014-05-18,49912.0
2014-05-21,68905.0
2014-05-24,52872.0
2014-05-27,68524.0
2014-05-30,65127.0
2014-06-02,64434.0
2014-06-05,66945.0
2014-06-08,48308.0
2014-06-11,62827.0
2014-06-14,53596.0
2014-06-17,70077.0
2014-06-20,57381.0
2014-06-23,60216.0
2014-06-26,61432.0
2014-06-29,49922.0
2014-07-02,66728.0
2014-07-05,49954.0
2014-07-08,70117.0
2014-07-11,59077.0
2014-07-14,62761.0
2014-07-17,66233.0
2014-07-20,52001.0
2014-07-23,66883.0
2014-07-26,56333.0
2014-07-29,61607.0
2014-08-01,67915.0
2014-08-04,67847.0
2014-08-07,69913.0
2014-08-10,57913.0
2014-08-13,75738.0
2014-08-16,67974.0
2014-08-19,74740.0
2014-08-22,66998.0
2014-08-25,69894.0
2014-08-28,68628.0
2014-08-31,57755.0
2014-09-03,71868.0
2014-09-06,63369.0
2014-09-09,81812.0
2014-09-12,68384.0
2014-09-15,78666.0
2014-09-18,77364.0
2014-09-21,59800.0
2014-09-24,74974.0
2014-09-27,62973.0
2014-09-30,78006.0
2014-10-03,75121.0
2014-10-06,78049.0
2014-10-09,82789.0
2014-10-12,63509.0
2014-10-15,76257.0
2014-10-18,66477.0
2014-10-21,81651.0
2014-10-24,77906.0
2014-10-27,83977.0
2014-10-30,92622.0
2014-11-02,77170.0
2014-11-05,89460.0
2014-11-08,72717.0
2014-11-11,85618.0
2014-11-14,86307.0
2014-11-17,88354.0
2014-11-20,89388.0
2014-11-23,77283.0
2014-11-26,85111.0
2014-11-29,79098.0
2014-12-02,99419.0
2014-12-05,90900.0
2014-12-08,90746.0
2014-12-11,84005.0
2014-12-14,79703.0
2014-12-17,98444.0
2014-12-20,86901.0
2014-12-23,99469.0
2014-12-26,76198.0
2014-12-29,83447.0
2015-01-01,59344.0
2015-01-04,85694.0
2015-01-07,89916.0
2015-01-10,104874.0
2015-01-13,102309.0
2015-01-16,104699.0
2015-01-19,98485.0
2015-01-22,93698.0
2015-01-25,86558.0
2015-01-28,85232.0
2015-01-31,86312.0
2015-02-03,91793.0
2015-02-06,85705.0
2015-02-09,104758.0
2015-02-12,87427.0
2015-02-15,85267.0
2015-02-18,105719.0
2015-02-21,87827.0
2015-02-24,105125.0
2015-02-27,101474.0
2015-03-02,104937.0
2015-03-05,101115.0
2015-03-08,87527.0
2015-03-11,100765.0
2015-03-14,89511.0
2015-03-17,99561.0
2015-03-20,103532.0
2015-03-23,106019.0
2015-03-26,101181.0
2015-03-29,90516.0
2015-04-01,119343.0
2015-04-04,89651.0
2015-04-07,108714.0
2015-04-10,112826.0
2015-04-13,115407.0
2015-04-16,99046.0
2015-04-19,91134.0
2015-04-22,111878.0
2015-04-25,98465.0
2015-04-28,113193.0
2015-05-01,99560.0
2015-05-04,104000.0
2015-05-07,111125.0
2015-05-10,89409.0
2015-05-13,108858.0
2015-05-16,90686.0
2015-05-19,107346.0
2015-05-22,102770.0
2015-05-25,106086.0
2015-05-28,110980.0
2015-05-31,98784.0
2015-06-03,127600.0
2015-06-06,92696.0
2015-06-09,121638.0
2015-06-12,126945.0
2015-06-15,129389.0
2015-06-18,124929.0
