Date,n_tx
2017-04-17,245184.0
2017-04-20,267915.0
2017-04-23,245039.0
2017-04-26,334471.0
2017-04-29,341319.0
2017-05-02,333161.0
2017-05-05,267193.0
2017-05-08,365096.0
2017-05-11,294743.0
2017-05-14,369098.0
2017-05-17,317527.0
2017-05-20,352805.0
2017-05-23,367710.0
2017-05-26,333340.0
2017-05-29,321638.0
2017-06-01,319709.0
2017-06-04,266044.0
2017-06-07,339720.0
2017-06-10,254993.0
2017-06-13,291776.0
2017-06-16,269937.0
2017-06-19,269774.0
2017-06-22,269685.0
2017-06-25,180719.0
2017-06-28,279811.0
2017-07-01,221856.0
2017-07-04,255483.0
2017-07-07,243614.0
2017-07-10,251722.0
2017-07-13,245895.0
2017-07-16,203165.0
2017-07-19,253768.0
2017-07-22,223358.0
2017-07-25,244036.0
2017-07-28,247207.0
2017-07-31,231012.0
2017-08-03,213017.0
2017-08-06,199627.0
2017-08-09,260955.0
2017-08-12,260521.0
2017-08-15,311002.0
2017-08-18,312250.0
2017-08-21,236772.0
2017-08-24,203805.0
2017-08-27,261891.0
2017-08-30,271466.0
2017-09-02,236811.0
2017-09-05,277948.0
2017-09-08,279488.0
2017-09-11,253492.0
2017-09-14,268068.0
2017-09-17,197683.0
2017-09-20,235723.0
2017-09-23,203861.0
2017-09-26,263648.0
2017-09-29,254438.0
2017-10-02,295002.0
2017-10-05,273243.0
2017-10-08,238385.0
2017-10-11,292459.0
2017-10-14,293140.0
2017-10-17,334438.0
2017-10-20,312409.0
2017-10-23,316096.0
2017-10-26,265827.0
2017-10-29,334025.0
2017-11-01,351529.0
2017-11-04,294121.0
2017-11-07,335636.0
2017-11-10,271745.0
2017-11-13,309299.0
2017-11-16,310396.0
2017-11-19,264855.0
2017-11-22,312033.0
2017-11-25,336689.0
2017-11-28,365977.0
2017-12-01,412908.0
2017-12-04,400686.0
2017-12-07,374917.0
2017-12-10,341420.0
2017-12-13,424579.0
2017-12-16,364222.0
2017-12-19,378622.0
2017-12-22,380648.0
2017-12-25,228926.0
2017-12-28,305053.0
2017-12-31,290422.0
2018-01-03,395963.0
2018-01-06,358847.0
2018-01-09,360265.0
2018-01-12,300091.0
2018-01-15,273623.0
2018-01-18,309495.0
2018-01-21,215622.0
2018-01-24,250423.0
2018-01-27,193578.0
2018-01-30,236609.0
2018-02-02,235918.0
2018-02-05,216363.0
2018-02-08,173289.0
2018-02-11,147208.0
2018-02-14,196417.0
