hash,time,result,size
0d07ea7ec5fb0cfcfc49572d6b432a9c41d0b2fccd58c8c3d13e2310ad4555d4,2020-12-13 23:10:50,-0.00436742,224
bdca5c3cbff37a0c0dbf319ad9a9746ccfe294a35f8f2ac462792e4d490ae5c3,2020-12-11 01:29:26,0.00436742,249
576f9c1f5f5b5e3e4772912291bad60400b9e5d4b687e31574d8f508a5794686,2020-11-12 11:01:39,-0.00576098,191
7398a4aac3e507d0b52b669245537c2c3890d7ad3edcf9c9e7a4243451e7d0cd,2020-11-05 08:44:41,0.00576098,249
29ea3db69de6b421cb4c00cc843761aa6601725ab487a5ae640955f2cbcd64b1,2020-09-29 18:19:05,-0.00799893,372
900d1c1234397813409fe55263a3933c29e9298c78f0e583b1fb5557e26027a1,2020-09-28 06:58:35,0.00799893,249
0122241203370ccccc87c8644bafbd27682fd8b6479fcd3fceff6c1e1899639e,2020-09-20 19:28:58,-0.00753345,370
9d9f8ce177aa13a27039cf565b800b6b161cfb6d926eff8af1a7a2227400c7cf,2020-09-14 22:40:23,-0.01002226,517
1ef48f456e1128046725b38c2f6187dad65c97f3747ec40fdf888dc81e7f5864,2020-08-27 00:16:26,0.00753345,249
88ead4f5a55a4154b18ffbf051ee5222bd6f0132d480d7c9d0444e6df306166d,2020-07-21 07:50:58,0.01002226,249
751ea9fac844e0656472281134511da360c85357a864f59de6680ebf59df8ce1,2020-07-20 18:01:40,-0.01918524,518
dccac6071853ffe5ec7441ac69b18ecab8d095db7f92d1450fcac0a4f0dabee4,2020-06-16 09:29:23,0.008891,249
20341377c2c0567c3916e590d3f4630a58a73a1fe197525246a8e142a6b646d2,2020-05-10 17:24:02,0.01029424,249
